coords, x, y 
133,-3.063393,-0.495134
134,-1.815727,3.397396
135,-2.317308,4.893518
136,0.677806,4.160941
137,6.941749,4.344263
138,-1.725237,4.956845
139,-2.512379,5.770187
140,-1.078673,3.295909
141,2.008739,4.074344
142,7.426633,5.945106
143,-1.298183,5.182816
144,0.736219,4.730888
145,4.344285,6.044016
146,2.166037,4.962009
147,7.188670,6.919210
148,13.867294,11.608320
149,0.196720,5.340047
150,-2.993035,6.080587
151,9.408577,6.315514
152,3.352688,6.136656
153,0.687882,4.688317
154,0.256328,6.439531
155,2.955915,2.390471
156,-2.283164,4.842928
157,3.352025,-1.131915
158,-8.612205,-17.688770
159,-12.736186,-15.418089
160,-6.715431,-26.990230
161,-2.662091,-28.922686
162,-9.217821,-19.527572
163,-10.806223,-19.207488
164,-8.262699,-21.120613
165,-11.157434,-19.547423
166,-3.433104,-29.645749
167,-2.760192,-30.390828
168,-2.611782,-30.857693
169,-3.726783,-29.221396
170,-6.854746,-25.344503
171,-9.257025,-24.954837
172,-10.914643,-12.654938
173,-3.827192,-29.045104
174,-2.500172,-30.570274
175,-2.496889,-30.677839
176,6.543465,-30.877641
177,-3.049555,-29.754772
178,-12.833710,-10.967870
179,-9.318198,-19.998180
180,-8.211677,-20.085091
181,-9.439646,-20.078149
182,0.763469,-31.465262
183,0.218850,-31.835097
184,2.641695,-2.701335
185,15.668375,7.258604
186,15.918327,9.063161
187,3.922953,1.558039
188,12.473232,11.304809
189,16.447810,10.359769
190,7.195783,7.481110
191,15.623541,8.904997
192,5.589734,14.944591
193,5.408849,15.345211
194,5.552490,15.607927
195,-0.982283,16.623988
196,-2.499036,20.411523
197,-10.392805,30.035535
198,-10.886813,30.291068
199,-11.204246,29.976922
200,-3.627145,19.973192
201,-2.311663,20.898267
202,-2.988315,16.971765
203,0.714305,14.502011
204,5.865000,11.736494
205,-1.239445,9.596244
206,-1.683899,10.173362
207,6.509794,15.534354
208,1.977830,10.549334
209,8.320495,13.475347
210,4.088225,9.412429
211,-0.343633,6.591600
212,3.886183,3.955113
213,-0.366624,5.010365
214,-8.313362,-1.060585
215,-3.541030,-5.623444
216,-6.913146,-8.657430
217,-9.479246,-7.103287
218,-10.611469,-19.632272
219,-9.350649,-13.479278
220,-9.184848,-3.802281
221,-11.248820,-11.849448
222,-12.483471,-12.137997
223,-9.627417,-13.298700
224,-10.388649,-15.443954
225,-14.317896,-11.238308
226,-11.276625,-12.529383
227,-9.360055,-16.012733
228,-8.713075,-20.026013
229,-8.061992,-15.704964
230,-2.353776,-20.438448
231,-5.375764,-20.193303
232,1.536177,-30.208337
233,-7.385624,-20.070076
234,-7.821502,-10.970680
235,-13.763874,-12.166858
236,-7.431411,-19.826043
237,-12.755778,-12.110611
238,-5.077336,-4.732084
239,-4.579706,-4.215807
240,-6.982348,-9.868253
241,-3.689190,-5.412527
242,-4.801634,-1.257108
243,-4.184730,-2.748893
244,-4.696167,-1.350932
245,3.183428,-2.266904
246,-3.906132,-1.574027
247,2.527679,1.676759
248,5.797239,3.536036
249,-3.525595,5.982896
250,-0.227379,4.466510
251,2.487611,3.457108
252,6.616352,4.249435
253,-1.057397,4.682507
254,6.350447,4.292241
255,15.978076,8.270828
256,-1.774886,6.291159
257,4.169732,6.543780
258,5.719734,6.564132
259,1.287911,7.034541
260,1.988634,5.289218
261,4.965133,7.178121
262,3.608496,10.604809
263,5.364671,11.681391
264,-2.225098,8.954225
265,-2.413145,6.745489
266,7.529471,5.743629
267,8.843229,6.706508
268,-0.097407,5.208944
269,-2.269495,5.095220
270,-2.198658,5.014650
271,-3.635161,-5.146199
272,-7.646583,-1.769835
273,-5.707452,-9.265314
274,-8.561547,-3.346466
275,-9.478582,-19.831311
276,-10.721334,-15.077968
