500	
774.56	0.411047	0.129905
775.56	0.378372	0.128201
776.57	0.121739	0.0707844
777.32	0.129262	-0.0255354
777.57	-0.110476	0.0136503
778.59	-0.358802	-0.0973379
779.59	-0.331434	-0.123668
780.60	-0.382141	-0.0895956
781.59	-0.19143	-0.0553418
782.53	0.1039	-0.0907655
782.62	-0.216348	-0.134655
783.54	0.109316	-0.0799257
783.62	-0.187814	-0.1307
784.53	0.182912	-0.0573904
784.64	-0.234845	-0.14758
785.54	0.151196	-0.0322151
785.61	-0.161073	-0.0480564
786.54	0.724237	-0.184395
787.37	-0.133673	0.158531
787.55	0.605653	-0.141138
788.55	-0.448779	0.396022
789.38	-0.100237	0.19192
789.55	-0.396015	0.488819
790.39	-0.108866	0.178271
790.55	-0.215052	0.490542
791.39	-0.0327361	0.0724853
791.56	-0.189616	0.461277
791.68	-0.269345	-0.0806764
792.56	-0.291311	0.565828
793.57	-0.262878	0.39698
794.58	-0.481159	0.233015
795.52	-0.244679	0.192101
795.59	-0.352836	0.0943579
796.52	-0.14054	0.0999426
796.59	-0.250777	0.0263753
797.54	-0.161422	0.172919
797.60	-0.182058	-0.0361803
797.66	-0.131443	-0.129914
798.55	-0.0929162	0.10095
798.66	-0.197434	-0.104594
799.55	-0.0313496	0.0258662
799.67	-0.169808	-0.109371
800.56	0.0151795	0.00332624
800.67	-0.142671	-0.0986225
801.56	0.0592297	-0.00478038
801.68	-0.112113	-0.119726
802.57	0.0266265	0.0460105
803.34	-0.151888	0.162683
803.57	0.0495278	0.0889575
804.57	-0.097944	0.0907396
805.36	-0.16045	0.295354
805.56	-0.169071	0.123772
806.36	-0.0921837	0.164344
806.56	-0.445884	0.030363
807.36	-0.0996387	0.159258
807.56	-0.332653	0.111565
807.67	-0.319961	-0.0844195
808.54	0.16404	-0.0619497
808.68	-0.46963	-0.0823802
809.54	0.126077	-0.104148
809.69	-0.389746	-0.0981472
810.54	-0.130286	0.0508381
810.69	-0.364568	-0.0723428
811.54	-0.128497	0.0563458
811.70	-0.279304	-0.0775664
812.55	-0.338681	0.195183
812.68	-0.252901	-0.0710126
813.55	-0.252853	0.201666
813.68	-0.2391	-0.0707091
814.56	-0.520981	0.331153
814.69	-0.215734	-0.0751317
815.56	-0.344242	0.347066
815.68	-0.16259	-0.087739
816.57	-0.549924	0.355342
817.50	-0.0236009	0.0765223
817.57	-0.261895	0.241473
818.58	0.400446	0.0430024
819.53	0.0378976	0.144826
819.59	0.394784	0.0146705
820.53	-0.0273004	0.112124
820.59	0.295482	0.01151
821.54	-0.173836	0.137659
821.60	0.0917982	-0.0498071
822.55	-0.458956	0.1272
822.61	-0.0371077	-0.0469455
823.55	-0.264869	0.110635
823.62	-0.0492508	-0.0496328
823.67	-0.305686	-0.120321
824.51	0.352269	-0.116606
824.56	-0.0997018	0.0437627
824.68	-0.304342	-0.166101
825.50	0.221012	-0.0698877
825.56	-0.0437591	-0.0142463
825.68	-0.302278	-0.165061
826.53	-0.048064	-0.120156
826.69	-0.282204	-0.0771359
827.54	-0.118815	0.0119343
827.70	-0.260078	-0.0776791
828.56	-0.147501	0.0804093
828.70	-0.190376	-0.083503
829.56	0.021507	0.15032
829.70	-0.148202	-0.0856406
830.57	0.029197	0.142985
831.57	-0.0457613	0.128733
832.53	0.0978509	0.115899
832.59	-0.0205931	0.0218208
833.53	0.0146012	0.141402
834.54	0.130237	0.312267
835.55	0.196819	0.394486
836.55	0.107971	0.41424
837.55	-0.15123	0.417663
838.56	-0.447081	0.205658
839.57	-0.376529	0.155868
840.57	-0.389074	0.157845
840.68	-0.218679	-0.126036
841.57	-0.0394581	0.180834
841.68	-0.250406	-0.115221
842.57	0.0858301	0.129712
842.69	-0.209207	-0.0746128
